orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_earth,equilibrium_temperature_K,insolation_flux_Earth,stellar_radius_solar,stellar_temperature_K,signal_to_noise,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,final_disposition,disp_label,y_confirmed,score_confirmed,pred_confirmed
6.80082032,1.9883,699.9,1.88,697.0,55.83,0.688,4805.0,25.5,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.97,1
38.2292037,3.893,605.8,1.51,359.0,3.92,0.598,4544.0,21.0,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.9533333333333334,1
5.83393857,4.5813,134.4,1.98,1285.0,642.83,1.699,5597.0,17.6,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.9433333333333334,1
8.46354384,1.4078,792.2,2.51,805.0,99.37,0.887,5427.0,26.1,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.94,1
12.89006728,3.555,602.5,1.93,620.0,34.99,0.812,4915.0,23.6,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.94,1
10.19154678,6.165,61.3,1.39,1144.0,404.17,1.684,6212.0,27.6,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.9333333333333333,1
1.834277283,1.7499,286.5,1.64,1459.0,1068.36,0.958,5751.0,24.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.93,1
6.57159435,3.1044,65.7,1.26,1211.0,507.81,1.432,6042.0,30.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.93,1
7.37290344,2.172,205.2,2.67,1004.0,240.11,1.07,5973.0,19.1,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.91,1
24.4359956,6.254,496.6,2.31,674.0,48.81,1.035,6197.0,17.1,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.9033333333333333,1
205.385912,8.681,1248.7,2.11,200.0,0.38,0.624,4400.0,24.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.9,1
5.93218209,4.507,205.3,1.39,1000.0,235.68,0.977,5843.0,14.9,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.8966666666666666,1
131.485184,5.294,557.8,3.03,400.0,6.08,1.242,5765.0,19.4,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.88,1
7.10397925,1.5398,370.5,1.51,818.0,105.84,0.789,5488.0,16.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.8533333333333334,1
4.77502117,1.7087,451.4,1.73,926.0,174.23,0.796,5275.0,16.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.8466666666666667,1
0.708621057,1.5041,187.5,1.2,1846.0,2741.07,0.887,5422.0,30.5,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.8333333333333334,1
31.0209175,2.012,859.5,1.66,291.0,1.7,0.48,3720.0,15.1,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.8233333333333334,1
12.85755895,4.831,106.5,1.23,860.0,129.15,1.156,5860.0,14.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.8133333333333334,1
19.6001405,8.613,282.0,2.08,676.0,49.23,0.932,6003.0,19.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.8133333333333334,1
46.245164,5.663,492.1,2.46,519.0,17.15,1.107,5553.0,15.5,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.7866666666666666,1
43.1024434,7.124,299.8,1.88,539.0,19.96,1.097,5741.0,14.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.7666666666666667,1
2.94242323,1.519,293.3,1.42,1098.0,344.64,0.819,5436.0,14.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.7433333333333333,1
0.868122253,1.5471,231.3,1.65,2047.0,4163.14,1.084,6116.0,23.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.7133333333333334,1
34.2966363,19.718,696.6,3.29,584.0,27.6,1.167,5490.0,66.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.7033333333333334,1
15.5764061,5.382,257.1,1.79,793.0,93.42,1.076,6214.0,14.1,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.69,1
16.1558656,3.798,731.3,2.04,455.0,10.1,0.53,4504.0,17.5,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.6833333333333333,1
2.41750021,4.33,58.2,1.19,1507.0,1221.36,1.308,5575.0,15.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.68,1
20.5718107,3.399,379.0,1.34,498.0,14.51,0.708,4922.0,13.0,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.6766666666666666,1
16.2957847,5.16,409.8,2.13,744.0,72.62,1.012,6063.0,14.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.6433333333333333,1
10.9192653,4.572,91.1,1.9,1107.0,355.29,1.972,5745.0,15.0,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.64,1
16.6671415,3.526,175.0,0.7,469.0,11.47,0.525,4729.0,17.9,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.63,1
126.4451275,16.7151,3252.5,4.49,321.0,2.51,0.795,5613.0,110.9,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.6166666666666667,1
237.787237,10.509,1627.7,9.91,354.0,3.73,1.853,5185.0,92.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.5933333333333334,1
66.6434565,2.385,277.3,2.99,476.0,12.17,1.164,5751.0,14.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.59,1
8.98128472,5.0397,4924.0,7.19,898.0,153.36,1.022,5977.0,76.6,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.5433333333333333,1
51.5738653,2.784,900.7,2.41,417.0,7.12,0.813,5380.0,13.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.5433333333333333,1
3.687469832,1.0668,5057.6,5.78,690.0,53.6,0.606,4004.0,363.9,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.5433333333333333,1
3.91679553,2.072,161.3,0.85,851.0,123.73,0.686,4889.0,13.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.5366666666666666,1
44.5643831,7.874,360.5,5.8,940.0,184.67,2.704,7029.0,27.0,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.5333333333333333,1
2.53742164,1.563,104.5,0.93,1220.0,525.68,0.917,5447.0,12.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.53,1
1.07808492,0.8551,155.6,1.01,1417.0,951.61,0.814,4906.0,22.9,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.5266666666666666,1
422.917678,31.274,1367.7,5.89,292.0,1.73,1.444,5796.0,61.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.52,1
4.64490141,2.456,106.4,0.76,832.0,113.62,0.77,4786.0,11.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.5133333333333333,1
4.66185924,3.164,49.3,1.16,1610.0,1590.18,1.619,7081.0,15.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.49666666666666665,1
3.251659087,1.5286,4747.9,9.83,1384.0,865.87,1.087,6367.0,466.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.49333333333333335,1
7.49133777,6.315,34.5,1.01,1291.0,656.15,1.71,6177.0,14.4,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.49333333333333335,1
21.61313362,1.52,818.1,1.94,503.0,15.14,0.632,5267.0,13.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.4866666666666667,1
21.1181653,9.734,112.7,2.89,1110.0,359.11,2.566,6461.0,26.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.44,0
79.2450351,5.382,1347.3,3.33,404.0,6.33,0.917,5648.0,14.4,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.43666666666666665,0
1.236866732,1.242,187.2,1.75,1569.0,1439.3,0.879,5621.0,14.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.43666666666666665,0
3.70858595,1.94,305.4,1.33,995.0,231.84,0.771,5420.0,11.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.43333333333333335,0
7.5966998,3.667,127.5,1.32,964.0,204.34,1.091,5716.0,24.5,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.43333333333333335,0
9.6550473,2.752,313.1,1.45,705.0,58.36,0.843,4999.0,12.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.43,0
7.1548608,7.694,780.4,7.41,1482.0,1141.57,1.739,7443.0,24.2,0.0,0.0,0.0,0.0,FALSE POSITIVE,FALSE POSITIVE,0,0.4166666666666667,0
82.331756,8.664,283.2,2.08,474.0,11.96,1.242,5997.0,11.9,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.4166666666666667,0
40.6511021,11.282,136.4,1.7,651.0,42.54,1.369,6297.0,17.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.4066666666666667,0
40.4195037,3.362,6256.0,7.51,467.0,11.29,0.781,5446.0,36.9,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.4033333333333333,0
13.9034057,3.408,261.4,1.55,646.0,41.08,0.819,5261.0,15.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.39666666666666667,0
14.97974335,4.126,1211.8,3.79,620.0,34.95,0.853,5062.0,33.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3933333333333333,0
0.609926502,1.2529,133.8,1.12,2141.0,4990.14,0.965,5936.0,15.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.39,0
18.2572722,3.434,157.5,0.94,547.0,21.16,0.756,5014.0,17.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.38666666666666666,0
181.81214,16.164,474.6,2.04,324.0,2.6,0.925,6060.0,21.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.38666666666666666,0
17.50441726,4.2585,725.4,3.56,824.0,108.78,1.329,5815.0,47.5,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.38333333333333336,0
3.886655224,3.1646,581.6,1.87,1010.0,246.29,0.738,5662.0,48.1,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.38333333333333336,0
3.38419892,1.485,228.2,1.2,1074.0,313.79,0.795,5613.0,11.5,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.38333333333333336,0
1.291964282,1.8378,28640.0,10.97,1249.0,572.64,0.638,4995.0,45.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.38333333333333336,0
86.7490807,9.179,547.1,2.23,398.0,5.94,0.97,5579.0,35.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.38,0
9.54699216,5.063,143.0,1.71,996.0,232.24,1.232,6274.0,17.4,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.37666666666666665,0
8.29482811,2.7437,559.5,2.76,876.0,139.38,0.939,5773.0,38.1,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.37666666666666665,0
11.30507984,3.989,278.4,1.4,744.0,72.67,0.844,5705.0,19.5,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.37666666666666665,0
0.933745798,6.447,613.8,3.45,2097.0,4570.22,1.087,6367.0,75.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.37333333333333335,0
30.5392931,6.887,428.2,2.72,669.0,47.46,1.328,5803.0,15.0,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.37,0
