koi_period,koi_duration,koi_prad,koi_teq,koi_insol,koi_srad,koi_steff,koi_depth,koi_model_snr,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disposition
9.48803557,2.9575,2.26,793.0,93.59,0.927,5455.0,615.8,35.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
54.4183827,4.507,2.83,443.0,9.11,0.927,5455.0,874.8,25.8,0.969,0.0,0.0,0.0,0.0,CONFIRMED
19.89913995,1.7822,14.6,638.0,39.3,0.868,5853.0,10829.0,76.3,0.0,0.0,0.0,0.0,0.0,CANDIDATE
1.736952453,2.40641,33.46,1395.0,891.96,0.791,5805.0,8079.2,505.6,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
2.525591777,1.6545,2.75,1406.0,926.16,1.046,6031.0,603.3,40.9,1.0,0.0,0.0,0.0,0.0,CONFIRMED
11.09432054,4.5945,3.9,835.0,114.81,0.972,6046.0,1517.5,66.5,1.0,0.0,0.0,0.0,0.0,CONFIRMED
4.13443512,3.1402,2.77,1160.0,427.65,0.972,6046.0,686.0,40.2,1.0,0.0,0.0,0.0,0.0,CONFIRMED
2.56658897,2.429,1.59,1360.0,807.74,0.972,6046.0,226.5,15.0,0.992,0.0,0.0,0.0,0.0,CONFIRMED
7.36178958,5.022,39.21,1342.0,767.22,1.958,6227.0,233.7,47.7,0.0,0.0,1.0,1.0,0.0,FALSE POSITIVE
16.06864674,3.5347,5.76,600.0,30.75,0.848,5031.0,4914.3,161.9,1.0,0.0,0.0,0.0,0.0,CONFIRMED
2.470613377,1.74319,13.04,1339.0,761.46,0.964,5820.0,14231.0,4304.3,0.811,0.0,0.0,0.0,0.0,CONFIRMED
2.204735417,3.88864,16.1,2048.0,4148.92,1.952,6440.0,6674.7,5945.9,1.0,0.0,1.0,0.0,0.0,CONFIRMED
3.522498429,3.19843,14.59,1521.0,1264.67,1.451,6225.0,9145.7,1741.5,0.998,0.0,0.0,0.0,0.0,CONFIRMED
3.709214104,2.6302,1.16,1206.0,500.46,1.022,5833.0,131.1,50.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
11.521446064,3.6399,150.51,753.0,75.88,0.848,5795.0,17984.0,622.1,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
19.40393776,12.2155,7.18,523.0,17.69,0.68,5043.0,8918.7,214.7,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
19.221388942,4.79843,49.29,698.0,55.97,0.947,6117.0,74284.0,2317.0,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
16.46983774,9.4378,7.94,595.0,29.61,0.786,5152.0,10479.0,303.4,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
9.27358173,3.2875,2.47,649.0,41.85,0.696,4856.0,1288.3,87.2,1.0,0.0,0.0,0.0,0.0,CONFIRMED
6.02930329,1.5821,2.85,678.0,50.04,0.672,4537.0,1912.7,65.4,1.0,0.0,0.0,0.0,0.0,CONFIRMED
2.696370652,3.6129,1.58,1066.0,305.34,0.819,4989.0,397.9,48.2,0.0,0.0,1.0,1.0,1.0,FALSE POSITIVE
5.349553819,3.0278,2.55,919.0,168.99,0.91,5185.0,831.0,60.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
3.94105221,2.5984,1.7,1018.0,253.15,0.91,5185.0,363.3,28.9,0.98,0.0,0.0,0.0,0.0,CONFIRMED
8.10904807,3.596,1.3,800.0,97.03,0.91,5185.0,217.4,14.1,0.971,0.0,0.0,0.0,0.0,CONFIRMED
386.6030528,6.8057,41.5,297.0,1.84,1.58,5543.0,24927.0,994.0,-0.0581882739489192,0.0,1.0,0.0,0.0,FALSE POSITIVE
21.67699193,3.4555,2.95,530.0,18.64,0.828,4954.0,857.2,34.3,1.0,0.0,0.0,0.0,0.0,CONFIRMED
4.99677968,2.1717,2.78,917.0,166.95,0.847,5339.0,934.7,28.2,1.0,0.0,0.0,0.0,0.0,CONFIRMED
4.280963604,2.875,2.3,1012.0,247.87,0.831,5644.0,750.8,61.8,1.0,0.0,0.0,0.0,0.0,CONFIRMED
1.50635409,1.5155,4.53,1452.0,1054.12,0.831,5714.0,2211.7,181.1,0.0,0.0,0.0,1.0,0.0,FALSE POSITIVE
670.645531,53.412,14.14,196.0,0.35,0.983,5520.0,18091.0,642.7,0.0,0.0,1.0,1.0,0.0,FALSE POSITIVE
61.2563628,7.633,39.87,505.0,15.43,1.091,6144.0,5123.3,85.3,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
38.3775486,5.588,2.82,529.0,18.53,1.036,5481.0,724.2,34.7,1.0,0.0,0.0,0.0,0.0,CONFIRMED
41.19725502,4.6297,3.86,439.0,8.76,0.848,5031.0,2213.9,51.2,0.992,0.0,0.0,0.0,0.0,CONFIRMED
6.252962249,2.5819,2.65,823.0,108.3,0.848,5031.0,1036.9,47.1,1.0,0.0,0.0,0.0,0.0,CONFIRMED
16.01308419,3.2554,3.1,593.0,29.31,0.826,5015.0,1121.9,33.2,1.0,0.0,0.0,0.0,0.0,CONFIRMED
32.62876672,4.7971,3.36,506.0,15.55,0.798,5586.0,1804.8,80.0,1.0,0.0,0.0,0.0,0.0,CONFIRMED
91.7732862,6.473,2.12,359.0,3.92,0.798,5586.0,652.0,19.1,0.978,0.0,0.0,0.0,0.0,CONFIRMED
4.959319244,2.22739,12.21,1103.0,349.4,1.082,5712.0,9802.0,696.5,1.0,0.0,0.0,0.0,0.0,CONFIRMED
2.701287801,3.3827,6.54,1222.0,527.81,0.91,5550.0,860.4,48.3,0.0,0.0,1.0,1.0,0.0,FALSE POSITIVE
4.49876511,3.7362,2.1,1133.0,389.62,0.969,6075.0,460.0,29.5,1.0,0.0,0.0,0.0,0.0,CONFIRMED
19.651209505,5.2514,12.42,730.0,67.03,1.063,6074.0,11766.0,513.4,0.0,0.0,1.0,0.0,0.0,FALSE POSITIVE
5.412203927,2.9472,2.94,1093.0,337.68,1.087,5779.0,601.6,166.7,1.0,0.0,0.0,0.0,0.0,CONFIRMED
41.43958662,10.5989,5.5,516.0,16.72,1.046,5468.0,2793.1,141.1,0.998,0.0,0.0,0.0,0.0,CONFIRMED
8.35389523,2.2514,2.52,790.0,91.9,0.787,5592.0,1041.6,43.4,1.0,0.0,0.0,0.0,0.0,CONFIRMED
4.125543472,3.1744,4.43,1243.0,565.35,1.103,6174.0,1487.3,128.6,1.0,0.0,0.0,0.0,0.0,CONFIRMED
