orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_earth,equilibrium_temperature_K,insolation_flux_Earth,stellar_radius_solar,stellar_temperature_K,final_disposition,source_mission
9.48803557,2.9575,615.8,2.26,793.0,93.59,0.927,5455.0,CONFIRMED,KEPLER
54.4183827,4.507,874.8,2.83,443.0,9.11,0.927,5455.0,CONFIRMED,KEPLER
19.89913995,1.7822,10829.0,14.6,638.0,39.3,0.868,5853.0,CANDIDATE,KEPLER
1.736952453,2.40641,8079.2,33.46,1395.0,891.96,0.791,5805.0,FALSE_POSITIVE,KEPLER
2.525591777,1.6545,603.3,2.75,1406.0,926.16,1.046,6031.0,CONFIRMED,KEPLER
11.09432054,4.5945,1517.5,3.9,835.0,114.81,0.972,6046.0,CONFIRMED,KEPLER
4.13443512,3.1402,686.0,2.77,1160.0,427.65,0.972,6046.0,CONFIRMED,KEPLER
2.56658897,2.429,226.5,1.59,1360.0,807.74,0.972,6046.0,CONFIRMED,KEPLER
7.36178958,5.022,233.7,39.21,1342.0,767.22,1.958,6227.0,FALSE_POSITIVE,KEPLER
16.06864674,3.5347,4914.3,5.76,600.0,30.75,0.848,5031.0,CONFIRMED,KEPLER
2.470613377,1.74319,14231.0,13.04,1339.0,761.46,0.964,5820.0,CONFIRMED,KEPLER
2.204735417,3.88864,6674.7,16.1,2048.0,4148.92,1.952,6440.0,CONFIRMED,KEPLER
3.522498429,3.19843,9145.7,14.59,1521.0,1264.67,1.451,6225.0,CONFIRMED,KEPLER
3.709214104,2.6302,131.1,1.16,1206.0,500.46,1.022,5833.0,CONFIRMED,KEPLER
11.521446064,3.6399,17984.0,150.51,753.0,75.88,0.848,5795.0,FALSE_POSITIVE,KEPLER
19.40393776,12.2155,8918.7,7.18,523.0,17.69,0.68,5043.0,FALSE_POSITIVE,KEPLER
19.221388942,4.79843,74284.0,49.29,698.0,55.97,0.947,6117.0,FALSE_POSITIVE,KEPLER
16.46983774,9.4378,10479.0,7.94,595.0,29.61,0.786,5152.0,FALSE_POSITIVE,KEPLER
9.27358173,3.2875,1288.3,2.47,649.0,41.85,0.696,4856.0,CONFIRMED,KEPLER
6.02930329,1.5821,1912.7,2.85,678.0,50.04,0.672,4537.0,CONFIRMED,KEPLER
2.696370652,3.6129,397.9,1.58,1066.0,305.34,0.819,4989.0,FALSE_POSITIVE,KEPLER
5.349553819,3.0278,831.0,2.55,919.0,168.99,0.91,5185.0,CONFIRMED,KEPLER
3.94105221,2.5984,363.3,1.7,1018.0,253.15,0.91,5185.0,CONFIRMED,KEPLER
8.10904807,3.596,217.4,1.3,800.0,97.03,0.91,5185.0,CONFIRMED,KEPLER
386.6030528,6.8057,24927.0,41.5,297.0,1.84,1.58,5543.0,FALSE_POSITIVE,KEPLER
21.67699193,3.4555,857.2,2.95,530.0,18.64,0.828,4954.0,CONFIRMED,KEPLER
4.99677968,2.1717,934.7,2.78,917.0,166.95,0.847,5339.0,CONFIRMED,KEPLER
4.280963604,2.875,750.8,2.3,1012.0,247.87,0.831,5644.0,CONFIRMED,KEPLER
1.50635409,1.5155,2211.7,4.53,1452.0,1054.12,0.831,5714.0,FALSE_POSITIVE,KEPLER
670.645531,53.412,18091.0,14.14,196.0,0.35,0.983,5520.0,FALSE_POSITIVE,KEPLER
61.2563628,7.633,5123.3,39.87,505.0,15.43,1.091,6144.0,FALSE_POSITIVE,KEPLER
38.3775486,5.588,724.2,2.82,529.0,18.53,1.036,5481.0,CONFIRMED,KEPLER
41.19725502,4.6297,2213.9,3.86,439.0,8.76,0.848,5031.0,CONFIRMED,KEPLER
6.252962249,2.5819,1036.9,2.65,823.0,108.3,0.848,5031.0,CONFIRMED,KEPLER
16.01308419,3.2554,1121.9,3.1,593.0,29.31,0.826,5015.0,CONFIRMED,KEPLER
32.62876672,4.7971,1804.8,3.36,506.0,15.55,0.798,5586.0,CONFIRMED,KEPLER
91.7732862,6.473,652.0,2.12,359.0,3.92,0.798,5586.0,CONFIRMED,KEPLER
4.959319244,2.22739,9802.0,12.21,1103.0,349.4,1.082,5712.0,CONFIRMED,KEPLER
2.701287801,3.3827,860.4,6.54,1222.0,527.81,0.91,5550.0,FALSE_POSITIVE,KEPLER
4.49876511,3.7362,460.0,2.1,1133.0,389.62,0.969,6075.0,CONFIRMED,KEPLER
19.651209505,5.2514,11766.0,12.42,730.0,67.03,1.063,6074.0,FALSE_POSITIVE,KEPLER
