pl_orbper,pl_trandur,pl_trandep,pl_rade,pl_radj,st_rad,st_teff,st_mass,st_logg,st_met,sy_pnum,sy_snum,pl_eqt,pl_insol,disposition
41.688644,,,2.35545351,0.21013949,0.956122,5703.0,0.963861,4.38,-0.06,1.0,1.0,8179.066688339986,16.060713621490365,CONFIRMED
41.6855,,,2.23,0.19894727,0.928,5766.0,0.961,4.5,-0.15,1.0,1.0,546.0,15.842495281463984,CONFIRMED
41.6855,,0.049,2.57807,0.23,1.08,5766.0,1.67,4.5,-0.15,1.0,1.0,8019.6881101791505,14.844984757110234,CONFIRMED
2.30183,1.9008,2.268,1.12,0.0999,0.762602,4616.52,0.73,4.53679,-0.03,0.0,1.0,1054.0,251.13074843298517,CANDIDATE
2.302368,,,1.31258765,0.12,0.710995,4720.0,,4.5,-0.06,0.0,1.0,,,CANDIDATE
1.1947488,1.93,0.448,4.19,0.37380676,0.57,3919.0,,,,0.0,1.0,,,CANDIDATE
6.178369,,,9.91257877,0.88,0.789478,5015.0,,4.67,0.24,0.0,1.0,,,CANDIDATE
6.17887,2.5008,1.303,8.84,0.789,0.849432,4719.28,0.756,4.45833,0.213,0.0,1.0,772.0,89.10285833208368,CANDIDATE
1.17589,1.248,0.0686,0.86,0.077,0.309,,,,,0.0,1.0,,,CANDIDATE
10.6966,3.24,0.0557,1.45,0.129,0.588,,,,,0.0,1.0,,,CANDIDATE
1.5374115,2.3808,1.4564,45.0,4.0,1.599,,,,,0.0,1.0,,,CANDIDATE
2.71189,3.1008,0.02,4.34,0.387,3.16745,6402.0,1.28,3.54386,,0.0,1.0,2336.0,8855.31816371698,CANDIDATE
18.10549,,,2.09985108,0.19,1.224685,6213.0,,4.32,0.14,2.0,1.0,,,CANDIDATE
6.7987,,,1.047,0.09340708,0.282,3648.0,0.287,4.999,-0.048,1.0,1.0,6364.180494182015,5.887349169467561,CONFIRMED
79.9999,11.7504,,10.2,0.91,0.508,4542.0,,4.747,,0.0,1.0,,,CANDIDATE
,14.472,3.06,30.0,3.0,0.707,,,,,0.0,1.0,,,CANDIDATE
17.77297,2.8992,3.662,26.44,2.359,1.25428,5847.0,1.06,4.26659,,0.0,1.0,830.0,89.3296179070096,CANDIDATE
0.99656225,2.26,35.5,32.8,2.92622,0.5,3727.0,,,,0.0,1.0,,,CANDIDATE
14.912381,3.03,0.252,3.55,0.31670979,0.65,4224.0,,,,0.0,1.0,,,CANDIDATE
14.9139,3.264,0.24,3.24,0.289,0.647,,,,,0.0,1.0,,,CANDIDATE
0.57303573,0.32,0.51,3.35,0.29886698,0.43,3570.0,,,,0.0,1.0,,,CANDIDATE
28.1656,,,1.87,0.16683023,,,0.41,,,1.0,1.0,,,CONFIRMED
28.1696,3.36,0.316,2.2,0.2,0.374,,,,,1.0,1.0,,,CONFIRMED
7.90417,1.92,0.268,2.06,0.184,0.374,,,,,1.0,1.0,,,CANDIDATE
7.9069606,1.73,0.28,3.02,0.26942635,0.52,3772.0,,,,1.0,1.0,,,CANDIDATE
1.0829614,1.22,0.0655,1.56,0.13917388,0.56,3875.0,,,,0.0,1.0,,,CANDIDATE
0.905655,1.488,0.0678,1.57,0.14,0.576,,,,,0.0,1.0,,,CANDIDATE
0.90552205,1.32,0.0791,1.52,0.13560532,0.5,3710.0,,,,0.0,1.0,,,CANDIDATE
2.7541129,1.24,0.671,4.87,0.4344723,0.55,3834.0,,,,0.0,1.0,,,CANDIDATE
2.75421,1.32,0.746,8.4,0.75,0.89,,,,,0.0,1.0,,,CANDIDATE
2.75391,1.0296,,3.78,0.337,0.436,3918.0,,4.846,,0.0,1.0,,,CANDIDATE
50.285869,12.62,0.184,3.47,0.30957266,0.74,4859.0,,,,0.0,1.0,,,FALSE POSITIVE
50.27762,,,209.52,18.692,10.96,5141.0,,,-0.21,0.0,1.0,1466.0,,FALSE POSITIVE
10.50439,3.384,0.0402,1.75,0.156,0.878,,,,,0.0,1.0,,,CANDIDATE
1.684208,1.3224,1.476,5.51,0.492,0.431,,,,,0.0,1.0,,,CANDIDATE
0.2122013,0.624,0.0725,0.519,0.0463,0.188,,,,,0.0,1.0,,,CANDIDATE
0.21219899,0.52,0.0662,1.05,0.09367473,0.37,3468.0,,,,0.0,1.0,,,CANDIDATE
0.212194,,,0.77,0.069,0.26,3299.0,,5.106,0.155,0.0,1.0,,,CANDIDATE
1.5778643,3.02,0.891,7.55,0.67356588,0.73,4811.0,,,,0.0,1.0,,,CANDIDATE
1.57771549,3.086,1.823,,,1.15585,5163.0,0.87,4.25178,,0.0,1.0,24666.5723762315,1328.5718944109828,CANDIDATE
1.57771549,2.993,0.875,,,2.56752,7333.0,1.66,3.83915,,0.0,1.0,46884.54847840928,17340.78656519132,CANDIDATE
13.0113,2.2008,0.065,2.43,0.217,0.880221,5347.0,0.92,4.51267,,0.0,1.0,713.0,51.2502603238088,CANDIDATE
40.70206194,1.621,0.536,,,0.572892,3759.0,0.565387,4.67427,,0.0,1.0,4597.597813801619,1.603517676445375,CANDIDATE
21.204739,,,9.11013939,0.81,1.761722,5154.0,,3.91,-0.26,0.0,1.0,,,CANDIDATE
2.519334,1.54512,,3.91,0.349,1.45,6283.0,,4.17,,0.0,1.0,,,FALSE POSITIVE
2.5194039,1.113,0.1935,7.65729,0.68313883,1.76,6380.0,,,,0.0,1.0,,219.344,FALSE POSITIVE
2.519386,1.584,0.2036,19.6,1.75,2.03,,,,,0.0,1.0,,,FALSE POSITIVE
2.51881781,1.58,0.215,,,1.76277,6380.0,,,-0.67,0.0,1.0,,,FALSE POSITIVE
2.5194078,1.24,0.181,7.99,0.71282006,1.72,7119.0,,,,0.0,1.0,,,FALSE POSITIVE
13.383629,,,2.87289326,0.26,0.815235,5216.0,,4.7,0.16,0.0,1.0,,,CANDIDATE
13.38382,2.2008,0.12,2.7,0.24,0.65973,5113.71,0.86,4.73383,0.192,0.0,1.0,608.0,24.262141141524047,CANDIDATE
11.8951,,,,,0.68,5040.0,,,,0.0,1.0,,,CANDIDATE
40.1401,3.024,1.896,20.8,1.86,0.716,,,,,0.0,1.0,,,CANDIDATE
7.4433,1.632,0.116,2.73,0.244,0.724,,,,,0.0,1.0,,,CANDIDATE
2.638,1.6992,0.11,2.91,0.26,,4264.47,,,0.0784,0.0,1.0,1313.0,,CANDIDATE
27.47083,5.5008,0.15,3.36,0.3,0.749863,4947.03,0.81,4.59659,-0.2022,0.0,1.0,480.0,10.953367661497223,CANDIDATE
2.8268121,6.8,14.1,40.1,3.57748238,0.98,5736.0,,,,0.0,1.0,,,CANDIDATE
0.72091,,,1.5,0.13382127,0.94,5633.0,,4.4,-0.053,1.0,1.0,,,CONFIRMED
4.44044,2.712,0.01414,1.32,0.118,1.053,,,,,0.0,1.0,,,CANDIDATE
4.4416421,2.74,0.0143,1.17,0.10438041,0.9,5547.0,,,,0.0,1.0,,,CANDIDATE
4.441258,,,1.12422498,0.1,0.833852,5450.0,,4.54,-0.13,0.0,1.0,,,CANDIDATE
11.20381,1.1328,0.0354,2.18,0.194,1.1,,,,,0.0,1.0,,,CANDIDATE
8.006875,2.5,,2.384,0.2126866,0.846,5403.0,0.904,4.538,-0.047,0.0,1.0,12768.986884484046,95.40598173970736,CANDIDATE
3.3643115,7.4,35.2,85.6,7.63672049,1.32,6240.0,,,,0.0,1.0,,,CANDIDATE
2.13174,,,0.692,0.0617361,,,0.78,,,1.0,1.0,,,CONFIRMED
13.837814,2.84,0.0663,1.96,0.17485949,0.7,4535.0,,,,1.0,1.0,,,CANDIDATE
13.8394,2.52,0.0487,1.29,0.115,0.554,,,,,1.0,1.0,,,CANDIDATE
