pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_rad,st_logg,st_tmag,st_dist,tfopwg_disp
2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,10249.0,2.16986,4.19,9.604,485.735,FP
1.9316462,3.166,1286.0,11.2154,44464.5,4045.0,7070.0,2.01,4.03,9.42344,295.862,PC
1.8675574,1.408,1500.0,23.7529,2860.61,2037.0,8924.0,5.73,3.4623600000000003,9.299501,943.109,FP
2.74323,3.167,383.41,3.290787662000001,1177.36,1631.0,5388.5,1.5041807980000002,4.15,9.3003,7728.17,FP
3.5730141,3.37,755.0,11.3113,54679.3,4260.0,9219.0,2.15,4.14,9.1355,356.437,FP
4.5505945,2.654,3731.0,7.10841,414.775,1257.0,5613.0,1.09,4.374685200000003,9.1309,100.711,FP
2.5047918,4.3797563,2270.5402194,8.6950898,1750.932635,1649.8220699,6616.0,1.53429,4.2087504,9.2386,185.79858000000007,FP
6.9989206,3.953,2840.0,14.7752,448.744,1282.0,6596.0,2.7,3.71,8.87759,283.291,PC
2.0483755,2.767,483.0,3.19621,5644.4,2282.1278615,6858.5,1.57,4.2,8.9362,144.297,FP
1.9600277,2.0065257,1707.6272693,11.997619562,1063.3422958,1456.4246534,8868.7,2.729864,3.9282,8.4331,866.147,PC
1.4303699,1.6165994,18960.7122944,13.1874503,1281.2408254,1525.9048089,5600.0,0.890774,4.48851,12.4069,375.31,KP
0.6808702,2.4634563,1507.8006889,5.9115908,87140.6995884,4382.0266062,9438.0,1.0,4.493374400000002,8.45086,485.122,FP
2.4704981,2.191,250.0,1.44656,575.597,1364.0,5413.7,0.94,4.46,8.2388,52.62,PC
0.884182,1.621,1890.0,24.8132,112144.0,5098.0,8928.0,2.72,3.92,8.12718,295.959,APC
5.4255548,3.9637474,14939.6342222,22.081583396,273.5880696,1037.2753045,8868.7,1.783338392,4.299938200000001,7.6095,510.295,FP
1.4095184,0.9484999,2841.5103258,16.780890268,1650.422071,1625.6180218,9307.0,2.249261604,4.110000000000002,7.678,224.672,FP
1.3730466,2.5708515,1301.5065338,42.1479417,3160.6328329,1912.3318636,4897.0,6.7996101,3.7926122,10.7069,906.496,FP
12.6889415,7.9201001,3232.8527885,14.0608342,425.1594177,1158.1310368,7601.0,1.53641,4.31,10.6257,368.646,FP
1.10422,2.37,14177.7,21.0448,39459.3,3926.0,6995.2,1.61,4.07,10.6019,406.997,FP
4.95912,2.509,7440.0,22.9123,673.55,1419.0,5889.0,2.0,3.86,10.6254,360.541,FP
5.2341008,3.7078139,20796.9416293,24.2931408,1453.6663847,1574.8381848,7645.0,1.56203,4.3,10.6348,399.544,PC
4.4119378,3.65,15062.0,15.4706,653.252,1408.0,6280.0,1.21,4.32092,9.7109,175.631,KP
3.28892,3.793,10518.9,23.961760942,29832.6,3661.0,8734.2,2.273018000000001,4.1,10.7173,906.827,FP
1.90879,1.909,618.482,3.34688,985.807,1561.0,6022.6,1.22,4.52,10.5551,235.974,FP
3.09574,4.475,380.0,3.4262,18087.9,3230.0,6084.0,1.41,4.13,8.72924,120.666,FA
1.3214483,3.435,2180.0,21.8839,35623.2,3827.0,5050.8,2.99,3.56,9.697,316.398,FP
18.0157,2.524,610.0,21.644,7.64364,463.0,4709.0,7.61,2.8892639999999994,10.0814,692.266,FP
9.6837921,2.4006056,4238.2399008,16.057279102,3176.3106916,1914.698926,8598.7,1.8144775960000004,4.2877464000000005,5.5324,129.838,PC
14.2628757,6.9350494,913.2067174,2.4765813,153.2069421,980.3628831,5690.0,0.853898,4.58,9.9138,105.677,FP
3.2834565,1.537,1558.0,2.87648,161.092,992.0,4272.0,0.68,4.6,10.2103,56.3449,PC
11.02875,2.715,1694.0,2.76586,15.0463,548.0,4272.0,0.68,4.6,10.2103,56.3449,PC
5.0113292,1.024,1210.0,2.52314,17.1793,567.0,4272.0,0.68,4.6,10.2103,56.3449,PC
1.01606,2.843,240.0,1.20704,2784.04,2023.0,4634.0,0.68,4.64,7.9059,23.7748,FP
36.22214,5.107,7170.0,19.476390736000003,1033.0728193060002,1489.799922712,7919.8628,2.0847518019999995,4.090338399999999,6.841,201.148032,FP
3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,6351.0,1.4,4.22896,11.5232,411.211,KP
12.1246519,4.612,7279.0,17.6729,207.32,1057.0,4807.6,1.07,4.17,9.5706,78.41273,FP
5.652623,3.434,1250.0,8.94354,2717.06,2011.0,6415.4,1.92,3.98,9.7318,270.771,FP
5.6643704,3.8087395,3491.8232968,14.7738943,7657.6621505,2385.8536488,10395.0,2.3383701,4.13,9.7611,587.196,PC
29.0160175,5.345,1389.0,6.77406,33.2234,654.2325632480001,6113.1,2.01,3.896274000000001,10.0163,219.94,FP
3.6404389,2.5339234,476.3077321,3.7025342,9941.2265514,2783.098027,9810.0,1.60776,4.43,9.8174,363.44,FP
6.0744477,2.4954821,5982.5212406,30.9493217,1487.5644344,1583.9398898,5964.0,2.4303801,3.7,10.1126,347.556,PC
3.7795212,2.952,2761.0,5.98375,466.528,1294.0,5771.0,1.18,4.31,10.2855,184.015,PC
1.2025238,1.991,390.0,6.31106,208477.0,5952.0,9158.0,1.74,4.32,9.0211,279.698,FP
3.2235985,2.159,680.0,5.51341,2064.8,1803.095769774,8904.0,2.17,4.09,8.7157,280.765,FP
4.420125,3.956,2466.0,12.299379546000004,1131.8779726039995,1600.805363802,6830.31,1.806199792,4.0915012000000015,8.5483,2864.34,APC
4.0872956,5.586113,3572.1712499,13.6237732,2242.3605401,1755.0767383,6036.0,2.2186699,3.93359,9.8638,316.678,KP
2.55555,1.566,340.0,11.5901,3520.68,2145.0,10037.0,6.04,3.4615599999999995,8.3854,732.432,FP
8.30792,3.228,8350.0,43.1068,2276.25,1924.0,9081.0,3.05,3.83,8.0981,305.034,FP
0.758082,1.8184632,583.93181,10.1273702,216218.1005011,5499.7476332,9917.0,3.5086601,3.75,9.718,792.633,PC
1.4415577,2.349,507.0,3.61078,16861.8,3174.0,6902.0,1.52,4.25,9.5719,208.055,FP
1.0085089,1.642,3051.0,11.619362734,9293.328465204002,2653.447304964,5215.2,1.7671962,3.955756600000001,10.0031,494.689,PC
3.7039994,4.277,7590.0,17.57,3546.13,2149.0,7013.8,1.9,4.21,9.6306,300.696,FP
1.3042553,1.706,914.0,9.36472,26944.7,3569.0,6762.0,1.75,4.11,10.0119,301.298,FP
0.62627,0.666,1880.0,5.72162,3235.57,2101.0,5622.0,0.93,4.5,10.2355,134.926,FP
0.30412,0.748,1330.0,10.417,280833.0,6413.0,11892.0,2.52,4.14,8.802,440.426,FP
2.1805277,2.969175,16340.1353205,16.808853,1770.4650539,1654.404068,6599.0,1.2714601,4.21017,11.0657,314.995,KP
2.1846669,2.86528,11708.0228549,13.7028527,1362.1381428,1549.4409801,5630.0,1.23824,4.37759,9.4995,137.544,KP
3.7354838,4.142,17030.0,21.2315,1292.19,1670.0,6650.0,1.57,4.1639,11.0261,405.908,KP
21.701669,8.2676424,211.6567325,2.3751494,52.095,685.2,5625.0,1.56486,4.438,7.1278,53.19149,FA
9.139804,3.0912936,358.4157801,3.0629855,243.011763,1006.9932829,5958.2,1.58,4.34,9.0197,129.804,CP
5.742625,2.860293,1105.760867,13.088532,1305.9819593240004,1632.8634502560003,5664.0,3.86959,3.26574,8.8849,263.729,FP
15.5077855,4.565,513.0,2.43432,88.0718,853.0,6122.0,1.17,4.30881,8.4362,88.4343,CP
17.4713078,4.4284819,1199.7541483,3.5766828,53.3700317,689.3568807,5783.54,0.974669,4.49925,8.0888,57.2651,CP
5.3079507,3.2158594,391.3830934,3.0486928,603.2401116,1263.9861129,6124.3,1.36963,4.38,9.6663,168.354,PC
51.1701501,6.6641048,851.4547808,2.9366826,11.2148229,466.7322968,5599.0,0.943356,4.46138,9.4091,98.2855,PC
11.1296441,7.0473822,951.6169809,12.8402271,1255.6817164,1518.2372485,5785.0,3.4475601,4.344,9.3781,338.831,PC
9.4496506,2.021,19750.0,17.0216,38.5799,694.0,5509.0,0.94,4.39758,9.7825,98.8783,PC
2.8493825,3.567,8049.0,16.3869,2005.83,1864.0,6900.0,1.77,4.438,10.3157,364.411,KP
2.0685633,0.373,502.0,3.89739,24.409,619.0,5687.9,1.14,4.6,9.6652,128.491,APC
0.540933,1.674337,257.347459,2.28501,15294.705872663995,3041.7865023560003,5525.0,1.21935,4.25342,9.7345,133.171,FP
4.1150576,1.08,487.0,2.30057,77.3573,826.0,5394.0,0.89,4.50942,9.478,82.1733,CP
10.0665238,2.4023189,839.9044871,2.7272824,54.8791715,694.1792631,5552.0,0.791742,4.61783,9.0689,61.1201,PC
6.4438657,1.9309449,1121.9512275,2.460344,60.831305,712.2812841,4803.0,0.737189,4.52079,10.0059,68.0726,CP
