koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_depth,koi_duration,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_impact,koi_sma,koi_steff,total_fp_flags,planet_density_proxy,habitable_zone_proxy,transit_intensity,koi_disposition
0.0,0.0,0.0,0.0,9.48803557,615.8,2.9575,35.8,2.26,793.0,93.59,0.146,0.0853,5455.0,0.0,0.0028463476070528966,0.08288150715392796,1821.2285,CONFIRMED
0.0,0.0,0.0,0.0,54.4183827,874.8,4.507,25.8,2.83,443.0,9.11,0.586,0.2734,5455.0,0.0,0.006373873873873874,0.2656483476656964,3942.7235999999994,CONFIRMED
0.0,0.0,0.0,0.0,19.89913995,10829.0,1.7822,76.3,14.6,638.0,39.3,0.969,0.1419,5853.0,0.0,0.022848200312989043,0.14281798085047137,19299.4438,CANDIDATE
0.0,1.0,0.0,0.0,1.736952453,8079.2,2.40641,505.6,33.46,1395.0,891.96,1.276,0.0267,5805.0,1.0,0.023968481375358168,0.026762310469805164,19441.867672,FALSE POSITIVE
0.0,0.0,0.0,0.0,2.525591777,603.3,1.6545,40.9,2.75,1406.0,926.16,0.701,0.0374,6031.0,0.0,0.0019545131485429993,0.038210040471063064,998.15985,CONFIRMED
0.0,0.0,0.0,0.0,11.09432054,1517.5,4.5945,66.5,3.9,835.0,114.81,0.538,0.0992,6046.0,0.0,0.0046650717703349285,0.10147451279153297,6972.15375,CONFIRMED
0.0,0.0,0.0,0.0,4.13443512,686.0,3.1402,40.2,2.77,1160.0,427.65,0.762,0.0514,6046.0,0.0,0.0023858742463393626,0.05257852779722576,2154.1772,CONFIRMED
0.0,0.0,0.0,0.0,2.56658897,226.5,2.429,15.0,1.59,1360.0,807.74,0.755,0.0374,6046.0,0.0,0.001168258633357825,0.03825752800809812,550.1685,CONFIRMED
0.0,1.0,1.0,0.0,7.36178958,233.7,5.022,47.7,39.21,1342.0,767.22,1.169,0.082,6227.0,2.0,0.02919583023082651,0.08512644881579946,1173.6414,FALSE POSITIVE
0.0,0.0,0.0,0.0,16.06864674,4914.3,3.5347,161.9,5.76,600.0,30.75,0.052,0.1158,5031.0,0.0,0.009584026622296172,0.1080555179214418,17370.57621,CONFIRMED
0.0,0.0,0.0,0.0,2.470613377,14231.0,1.74319,4304.3,13.04,1339.0,761.46,0.818,0.0354,5820.0,0.0,0.009731343283582088,0.03552842747545273,24807.33689,CONFIRMED
0.0,1.0,0.0,0.0,2.204735417,6674.7,3.88864,4306.890000000006,16.1,2048.0,4148.92,0.224,0.0376,6440.0,1.0,0.007857491459248415,0.03969556701754722,25955.505408,CONFIRMED
0.0,0.0,0.0,0.0,3.522498429,9145.7,3.19843,1741.5,14.59,1521.0,1264.67,0.631,0.0473,6225.0,0.0,0.009586070959264127,0.04909554098225828,29251.881251000003,CONFIRMED
0.0,0.0,0.0,0.0,3.709214104,131.1,2.6302,50.6,1.16,1206.0,500.46,0.051,0.0465,5833.0,0.0,0.0009610604805302402,0.046720789431569265,344.81922,CONFIRMED
0.0,1.0,0.0,0.0,11.521446064,17984.0,3.6399,622.1,150.51,753.0,75.88,2.483,0.0978,5795.0,1.0,0.1996153846153846,0.09794376764214092,65459.961599999995,FALSE POSITIVE
0.0,1.0,0.0,0.0,19.40393776,8918.7,12.2155,214.7,7.18,523.0,17.69,0.804,0.123,5043.0,1.0,0.013702290076335878,0.11491079433284589,108946.37985000001,FALSE POSITIVE
0.0,1.0,0.0,0.0,19.221388942,74284.0,4.79843,2317.0,49.29,698.0,55.97,1.065,0.1417,6117.0,1.0,0.07051502145922747,0.14579758210642219,356446.57412,FALSE POSITIVE
0.0,1.0,0.0,0.0,16.46983774,10479.0,9.4378,303.4,7.94,595.0,29.61,0.292,0.1147,5152.0,1.0,0.013322147651006712,0.10830850876208446,98898.70619999999,FALSE POSITIVE
0.0,0.0,0.0,0.0,9.27358173,1288.3,3.2875,87.2,2.47,649.0,41.85,0.387,0.0759,4856.0,0.0,0.0038000000000000004,0.06958126918795642,4235.28625,CONFIRMED
0.0,0.0,0.0,0.0,6.02930329,1912.7,1.5821,65.4,2.85,678.0,50.04,0.258,0.0585,4537.0,0.0,0.004197349042709867,0.05183838787948489,3026.0826700000002,CONFIRMED
0.0,1.0,1.0,1.0,2.696370652,397.9,3.6129,48.2,1.58,1066.0,305.34,0.044,0.0349,4989.0,3.0,0.0014807872539831304,0.03242973577137892,1437.5729099999999,FALSE POSITIVE
0.0,0.0,0.0,0.0,5.349553819,831.0,3.0278,60.6,2.55,919.0,168.99,0.092,0.0563,5185.0,0.0,0.0027717391304347824,0.053332753517746495,2516.1018,CONFIRMED
0.0,0.0,0.0,0.0,3.94105221,363.3,2.5984,28.9,1.7,1018.0,253.15,0.226,0.046,5185.0,0.0,0.0016683022571148183,0.04357560678181774,943.9987199999999,CONFIRMED
0.0,0.0,0.0,0.0,8.10904807,217.4,3.596,14.1,1.3,800.0,97.03,0.025,0.0743,5185.0,0.0,0.0016229712858926342,0.0703840779106317,781.7704,CONFIRMED
0.0,1.0,0.0,0.0,386.6030528,24927.0,6.8057,994.0,41.5,297.0,1.84,0.9765,1.0719,5543.0,1.0,0.13926174496644295,1.049875839321324,169645.6839,FALSE POSITIVE
0.0,0.0,0.0,0.0,21.67699193,857.2,3.4555,34.3,2.95,530.0,18.64,0.896,0.1408,4954.0,0.0,0.005555555555555556,0.13037426923903475,2962.0546,CONFIRMED
0.0,0.0,0.0,0.0,4.99677968,934.7,2.1717,28.2,2.78,917.0,166.95,0.71,0.0559,5339.0,0.0,0.003028322440087146,0.05373447370075883,2029.8879900000002,CONFIRMED
0.0,0.0,0.0,0.0,4.280963604,750.8,2.875,61.8,2.3,1012.0,247.87,0.424,0.0503,5644.0,0.0,0.002270483711747285,0.04971331442394674,2158.5499999999997,CONFIRMED
0.0,0.0,1.0,0.0,1.50635409,2211.7,1.5155,181.1,4.53,1452.0,1054.12,0.86,0.025,5714.0,1.0,0.003117687543014453,0.024861158246125052,3351.83135,FALSE POSITIVE
0.0,1.0,1.0,0.0,550.9979034000003,18091.0,30.04754200000019,642.7,14.14,196.0,0.35,0.701,1.3589290000000014,5520.0,2.0,0.0717766497461929,1.3282430031700214,543590.0823220034,FALSE POSITIVE
0.0,1.0,0.0,0.0,61.2563628,5123.3,7.633,85.3,39.87,505.0,15.43,1.248,0.3137,6144.0,1.0,0.07879446640316205,0.3234829190545329,39106.1489,FALSE POSITIVE
0.0,0.0,0.0,0.0,38.3775486,724.2,5.588,34.7,2.82,529.0,18.53,0.468,0.2163,5481.0,0.0,0.005320754716981132,0.21066755346780897,4046.8296000000005,CONFIRMED
